
[2024-01-06 15:47:57.112887] Epoch: 0 / 1000, Frames: 300, Gov_Rewards: -391.020, House_Rewards: 45.598, years:1.400, actor_loss: 405.090, critic_loss: 72079597.135
[2024-01-06 15:48:13.764103] Epoch: 1 / 1000, Frames: 600, Gov_Rewards: 3340.890, House_Rewards: 29345.340, years:300.000, actor_loss: 4286.961, critic_loss: 30771931.509
[2024-01-06 15:48:30.332778] Epoch: 2 / 1000, Frames: 900, Gov_Rewards: 3367.590, House_Rewards: 29277.085, years:300.000, actor_loss: 6918.068, critic_loss: 12651218.057
[2024-01-06 15:48:47.132359] Epoch: 3 / 1000, Frames: 1200, Gov_Rewards: 3370.289, House_Rewards: 29259.497, years:300.000, actor_loss: 8090.690, critic_loss: 4495538.172
[2024-01-06 15:49:03.760198] Epoch: 4 / 1000, Frames: 1500, Gov_Rewards: 3372.132, House_Rewards: 29254.037, years:300.000, actor_loss: 6820.026, critic_loss: 2165669.028
[2024-01-06 15:49:20.655116] Epoch: 5 / 1000, Frames: 1800, Gov_Rewards: 3376.917, House_Rewards: 29241.626, years:300.000, actor_loss: 3233.439, critic_loss: 1346426.258
[2024-01-06 15:49:37.246054] Epoch: 6 / 1000, Frames: 2100, Gov_Rewards: 3366.027, House_Rewards: 29235.137, years:300.000, actor_loss: -3830.402, critic_loss: 1205445.413
[2024-01-06 15:49:53.861900] Epoch: 7 / 1000, Frames: 2400, Gov_Rewards: 3371.463, House_Rewards: 29233.335, years:300.000, actor_loss: -19797.623, critic_loss: 1028797.200
[2024-01-06 15:50:10.730294] Epoch: 8 / 1000, Frames: 2700, Gov_Rewards: 3378.478, House_Rewards: 29229.491, years:300.000, actor_loss: -51764.546, critic_loss: 1318943.388
[2024-01-06 15:50:27.522907] Epoch: 9 / 1000, Frames: 3000, Gov_Rewards: 3381.752, House_Rewards: 29225.605, years:300.000, actor_loss: -118600.180, critic_loss: 2815239.689
[2024-01-06 15:50:44.324767] Epoch: 10 / 1000, Frames: 3300, Gov_Rewards: 3380.622, House_Rewards: 29219.744, years:300.000, actor_loss: -250586.048, critic_loss: 8700199.986
[2024-01-06 15:51:01.183723] Epoch: 11 / 1000, Frames: 3600, Gov_Rewards: 3373.247, House_Rewards: 29216.109, years:300.000, actor_loss: -539223.583, critic_loss: 42651905.008
[2024-01-06 15:51:18.309570] Epoch: 12 / 1000, Frames: 3900, Gov_Rewards: 3375.942, House_Rewards: 29211.121, years:300.000, actor_loss: -1140670.780, critic_loss: 161822550.781
[2024-01-06 15:51:35.452388] Epoch: 13 / 1000, Frames: 4200, Gov_Rewards: 3385.262, House_Rewards: 29207.403, years:300.000, actor_loss: -2317217.301, critic_loss: 621650859.750
[2024-01-06 15:51:52.451426] Epoch: 14 / 1000, Frames: 4500, Gov_Rewards: 3388.527, House_Rewards: 29203.078, years:300.000, actor_loss: -4557519.038, critic_loss: 2519903199.250
[2024-01-06 15:52:09.348477] Epoch: 15 / 1000, Frames: 4800, Gov_Rewards: 3382.513, House_Rewards: 29200.331, years:300.000, actor_loss: -8538635.422, critic_loss: 9331540690.875
[2024-01-06 15:52:26.355095] Epoch: 16 / 1000, Frames: 5100, Gov_Rewards: 3387.329, House_Rewards: 29197.254, years:300.000, actor_loss: -15524413.327, critic_loss: 27273092543.500
[2024-01-06 15:52:43.299399] Epoch: 17 / 1000, Frames: 5400, Gov_Rewards: 3390.511, House_Rewards: 29188.004, years:300.000, actor_loss: -26659613.936, critic_loss: 88178970987.500
[2024-01-06 15:53:00.171218] Epoch: 18 / 1000, Frames: 5700, Gov_Rewards: 3385.252, House_Rewards: 29188.110, years:300.000, actor_loss: -43598661.611, critic_loss: 238518548002.594
[2024-01-06 15:53:17.238889] Epoch: 19 / 1000, Frames: 6000, Gov_Rewards: 3397.821, House_Rewards: 29189.795, years:300.000, actor_loss: -69684223.021, critic_loss: 522512195409.375
[2024-01-06 15:53:34.196756] Epoch: 20 / 1000, Frames: 6300, Gov_Rewards: 3385.722, House_Rewards: 29182.755, years:300.000, actor_loss: -108447881.681, critic_loss: 1215498763798.875
[2024-01-06 15:53:50.947964] Epoch: 21 / 1000, Frames: 6600, Gov_Rewards: 3395.015, House_Rewards: 29181.195, years:300.000, actor_loss: -159657638.343, critic_loss: 3169581943628.750
[2024-01-06 15:54:07.609160] Epoch: 22 / 1000, Frames: 6900, Gov_Rewards: 3378.622, House_Rewards: 29178.935, years:300.000, actor_loss: -229472268.024, critic_loss: 6397408120786.844
[2024-01-06 15:54:24.306385] Epoch: 23 / 1000, Frames: 7200, Gov_Rewards: 3390.656, House_Rewards: 29174.338, years:300.000, actor_loss: -326136836.714, critic_loss: 11712908370923.250
[2024-01-06 15:54:40.980682] Epoch: 24 / 1000, Frames: 7500, Gov_Rewards: 3391.690, House_Rewards: 29175.522, years:300.000, actor_loss: -455832794.153, critic_loss: 24802065765173.031
[2024-01-06 15:54:57.612989] Epoch: 25 / 1000, Frames: 7800, Gov_Rewards: 3392.502, House_Rewards: 29168.619, years:300.000, actor_loss: -623590955.956, critic_loss: 48277153802563.281
[2024-01-06 15:55:14.401910] Epoch: 26 / 1000, Frames: 8100, Gov_Rewards: 3387.591, House_Rewards: 29171.058, years:300.000, actor_loss: -841014611.294, critic_loss: 88852115408798.625
[2024-01-06 15:55:31.045838] Epoch: 27 / 1000, Frames: 8400, Gov_Rewards: 3391.744, House_Rewards: 29163.311, years:300.000, actor_loss: -1121128105.393, critic_loss: 140967725582776.969
[2024-01-06 15:55:47.701507] Epoch: 28 / 1000, Frames: 8700, Gov_Rewards: 3400.220, House_Rewards: 29165.116, years:300.000, actor_loss: -1468512014.893, critic_loss: 245657777849906.750
[2024-01-06 15:56:04.428764] Epoch: 29 / 1000, Frames: 9000, Gov_Rewards: 3392.827, House_Rewards: 29158.875, years:300.000, actor_loss: -1900162517.169, critic_loss: 405298134612024.500
[2024-01-06 15:56:21.032248] Epoch: 30 / 1000, Frames: 9300, Gov_Rewards: 3390.943, House_Rewards: 29156.617, years:300.000, actor_loss: -2409911160.375, critic_loss: 726640905781444.125
[2024-01-06 15:56:38.013333] Epoch: 31 / 1000, Frames: 9600, Gov_Rewards: 3392.978, House_Rewards: 29154.245, years:300.000, actor_loss: -3013254781.462, critic_loss: 1065372294060233.875
[2024-01-06 15:56:55.114912] Epoch: 32 / 1000, Frames: 9900, Gov_Rewards: 3390.511, House_Rewards: 29148.995, years:300.000, actor_loss: -3726480846.559, critic_loss: 1574314741388931.750
[2024-01-06 15:57:12.100549] Epoch: 33 / 1000, Frames: 10200, Gov_Rewards: 3399.555, House_Rewards: 29149.367, years:300.000, actor_loss: -4556885892.953, critic_loss: 2376929215019252.500
[2024-01-06 15:57:29.105188] Epoch: 34 / 1000, Frames: 10500, Gov_Rewards: 3393.396, House_Rewards: 29147.321, years:300.000, actor_loss: -5467526140.673, critic_loss: 3658086447701352.000
[2024-01-06 15:57:46.134057] Epoch: 35 / 1000, Frames: 10800, Gov_Rewards: 3396.024, House_Rewards: 29146.779, years:300.000, actor_loss: -6486151374.546, critic_loss: 4777598037305372.000
[2024-01-06 15:58:02.858547] Epoch: 36 / 1000, Frames: 11100, Gov_Rewards: 3391.732, House_Rewards: 29147.899, years:300.000, actor_loss: -7643157871.906, critic_loss: 6670430197083266.000
[2024-01-06 15:58:19.764148] Epoch: 37 / 1000, Frames: 11400, Gov_Rewards: 3402.330, House_Rewards: 29130.243, years:300.000, actor_loss: -8879186184.884, critic_loss: 8903344026584061.000
[2024-01-06 15:58:36.546966] Epoch: 38 / 1000, Frames: 11700, Gov_Rewards: 3392.233, House_Rewards: 29141.188, years:300.000, actor_loss: -10199134319.081, critic_loss: 12475486286665970.000
[2024-01-06 15:58:53.185734] Epoch: 39 / 1000, Frames: 12000, Gov_Rewards: 3398.994, House_Rewards: 29135.945, years:300.000, actor_loss: -11576019765.309, critic_loss: 16506451929672602.000
[2024-01-06 15:59:09.999580] Epoch: 40 / 1000, Frames: 12300, Gov_Rewards: 3397.901, House_Rewards: 29130.100, years:300.000, actor_loss: -13097112297.309, critic_loss: 17856902503574320.000
[2024-01-06 15:59:26.595555] Epoch: 41 / 1000, Frames: 12600, Gov_Rewards: 3410.991, House_Rewards: 29133.622, years:300.000, actor_loss: -14685919133.070, critic_loss: 24536815889636684.000
