
[2024-05-19 22:30:26.682198] Epoch: 0 / 1000, Frames: 300, Gov_Rewards: -682.146, House_Rewards: 784.328, years:1.000, actor_loss: 94.387, critic_loss: 69632081.694, exploitability_rate: 0.130779
[2024-05-19 22:32:38.323863] Epoch: 1 / 1000, Frames: 600, Gov_Rewards: 3189.831, House_Rewards: 296605.420, years:300.000, actor_loss: 1494.020, critic_loss: 47826301.596, exploitability_rate: 0.020806
[2024-05-19 22:34:46.537757] Epoch: 2 / 1000, Frames: 900, Gov_Rewards: 3406.054, House_Rewards: 291089.814, years:300.000, actor_loss: 6381.967, critic_loss: 26856707.956, exploitability_rate: 0.000227
[2024-05-19 22:36:55.094051] Epoch: 3 / 1000, Frames: 1200, Gov_Rewards: 3407.793, House_Rewards: 290271.524, years:300.000, actor_loss: 14065.464, critic_loss: 12619706.055, exploitability_rate: 0.000129
[2024-05-19 22:39:03.495663] Epoch: 4 / 1000, Frames: 1500, Gov_Rewards: 3415.315, House_Rewards: 289991.239, years:300.000, actor_loss: 22731.916, critic_loss: 4239564.856, exploitability_rate: 0.000107
[2024-05-19 22:41:11.670350] Epoch: 5 / 1000, Frames: 1800, Gov_Rewards: 3415.225, House_Rewards: 289828.435, years:300.000, actor_loss: 30669.146, critic_loss: 1207602.659, exploitability_rate: 0.000299
[2024-05-19 22:43:19.987110] Epoch: 6 / 1000, Frames: 2100, Gov_Rewards: 3407.390, House_Rewards: 289879.742, years:300.000, actor_loss: 35007.299, critic_loss: 474743.477, exploitability_rate: 0.000183
[2024-05-19 22:45:28.211935] Epoch: 7 / 1000, Frames: 2400, Gov_Rewards: 3411.810, House_Rewards: 289766.872, years:300.000, actor_loss: 37723.943, critic_loss: 409592.823, exploitability_rate: 0.000194
[2024-05-19 22:47:36.468059] Epoch: 8 / 1000, Frames: 2700, Gov_Rewards: 3407.365, House_Rewards: 289931.735, years:300.000, actor_loss: 37902.801, critic_loss: 375820.324, exploitability_rate: 0.000204
[2024-05-19 22:49:44.663533] Epoch: 9 / 1000, Frames: 3000, Gov_Rewards: 3407.306, House_Rewards: 289967.647, years:300.000, actor_loss: 38079.634, critic_loss: 440551.573, exploitability_rate: 0.000101
[2024-05-19 22:51:53.251949] Epoch: 10 / 1000, Frames: 3300, Gov_Rewards: 3411.449, House_Rewards: 289798.335, years:300.000, actor_loss: 37812.709, critic_loss: 409086.860, exploitability_rate: 0.000011
[2024-05-19 22:54:01.526707] Epoch: 11 / 1000, Frames: 3600, Gov_Rewards: 3412.997, House_Rewards: 289841.824, years:300.000, actor_loss: 36858.018, critic_loss: 372816.109, exploitability_rate: 0.000275
[2024-05-19 22:56:09.794641] Epoch: 12 / 1000, Frames: 3900, Gov_Rewards: 3411.120, House_Rewards: 289979.752, years:300.000, actor_loss: 36785.781, critic_loss: 374384.035, exploitability_rate: 0.000275
[2024-05-19 22:58:18.396899] Epoch: 13 / 1000, Frames: 4200, Gov_Rewards: 3411.929, House_Rewards: 290040.479, years:300.000, actor_loss: 36947.048, critic_loss: 325832.587, exploitability_rate: 0.000044
[2024-05-19 23:00:27.345140] Epoch: 14 / 1000, Frames: 4500, Gov_Rewards: 3409.033, House_Rewards: 290153.088, years:300.000, actor_loss: 36061.946, critic_loss: 290905.873, exploitability_rate: 0.000276
[2024-05-19 23:02:35.696824] Epoch: 15 / 1000, Frames: 4800, Gov_Rewards: 3408.243, House_Rewards: 291147.811, years:300.000, actor_loss: 35257.250, critic_loss: 319870.259, exploitability_rate: 0.000117
[2024-05-19 23:04:44.186889] Epoch: 16 / 1000, Frames: 5100, Gov_Rewards: 3407.941, House_Rewards: 289987.150, years:300.000, actor_loss: 34507.763, critic_loss: 257672.386, exploitability_rate: 0.000099
[2024-05-19 23:06:52.268104] Epoch: 17 / 1000, Frames: 5400, Gov_Rewards: 3409.637, House_Rewards: 289928.323, years:300.000, actor_loss: 35554.230, critic_loss: 292138.096, exploitability_rate: 0.000182
[2024-05-19 23:09:00.511251] Epoch: 18 / 1000, Frames: 5700, Gov_Rewards: 3407.024, House_Rewards: 290091.789, years:300.000, actor_loss: 35613.878, critic_loss: 260796.740, exploitability_rate: 0.000086
[2024-05-19 23:11:08.858277] Epoch: 19 / 1000, Frames: 6000, Gov_Rewards: 3405.142, House_Rewards: 291216.513, years:300.000, actor_loss: 33977.117, critic_loss: 303965.835, exploitability_rate: 0.000151
[2024-05-19 23:13:17.269970] Epoch: 20 / 1000, Frames: 6300, Gov_Rewards: 3408.251, House_Rewards: 289965.497, years:300.000, actor_loss: 33184.282, critic_loss: 261377.356, exploitability_rate: 0.000127
[2024-05-19 23:15:25.543106] Epoch: 21 / 1000, Frames: 6600, Gov_Rewards: 3405.251, House_Rewards: 289957.115, years:300.000, actor_loss: 33810.514, critic_loss: 217767.683, exploitability_rate: 0.000068
[2024-05-19 23:17:37.221672] Epoch: 22 / 1000, Frames: 6900, Gov_Rewards: 3405.053, House_Rewards: 289945.097, years:300.000, actor_loss: 34609.497, critic_loss: 235018.553, exploitability_rate: 0.000075
[2024-05-19 23:19:46.665622] Epoch: 23 / 1000, Frames: 7200, Gov_Rewards: 3409.628, House_Rewards: 290066.992, years:300.000, actor_loss: 33404.947, critic_loss: 259459.396, exploitability_rate: 0.000306
[2024-05-19 23:21:56.597983] Epoch: 24 / 1000, Frames: 7500, Gov_Rewards: 3412.812, House_Rewards: 290511.200, years:300.000, actor_loss: 33431.238, critic_loss: 198995.284, exploitability_rate: 0.000007
[2024-05-19 23:24:01.668567] Epoch: 25 / 1000, Frames: 7800, Gov_Rewards: 3318.950, House_Rewards: 287375.813, years:300.000, actor_loss: 31981.002, critic_loss: 215971.383, exploitability_rate: 0.083486
[2024-05-19 23:26:09.787844] Epoch: 26 / 1000, Frames: 8100, Gov_Rewards: 3409.053, House_Rewards: 289936.326, years:300.000, actor_loss: 30994.329, critic_loss: 214131.148, exploitability_rate: 0.000140
[2024-05-19 23:28:18.394124] Epoch: 27 / 1000, Frames: 8400, Gov_Rewards: 3409.288, House_Rewards: 289956.864, years:300.000, actor_loss: 31968.869, critic_loss: 204263.100, exploitability_rate: 0.000118
[2024-05-19 23:30:27.016112] Epoch: 28 / 1000, Frames: 8700, Gov_Rewards: 3411.458, House_Rewards: 290180.531, years:300.000, actor_loss: 31455.856, critic_loss: 196832.947, exploitability_rate: 0.000064
[2024-05-19 23:32:35.290778] Epoch: 29 / 1000, Frames: 9000, Gov_Rewards: 3407.187, House_Rewards: 290038.753, years:300.000, actor_loss: 30606.831, critic_loss: 186853.860, exploitability_rate: 0.000137
[2024-05-19 23:34:44.446476] Epoch: 30 / 1000, Frames: 9300, Gov_Rewards: 3408.817, House_Rewards: 289803.015, years:300.000, actor_loss: 30110.120, critic_loss: 186658.230, exploitability_rate: 0.000082
[2024-05-19 23:36:53.101083] Epoch: 31 / 1000, Frames: 9600, Gov_Rewards: 3405.469, House_Rewards: 289982.204, years:300.000, actor_loss: 30518.291, critic_loss: 203859.100, exploitability_rate: 0.000155
[2024-05-19 23:39:01.659628] Epoch: 32 / 1000, Frames: 9900, Gov_Rewards: 3410.054, House_Rewards: 290838.540, years:300.000, actor_loss: 30265.069, critic_loss: 185964.134, exploitability_rate: 0.000668
[2024-05-19 23:41:09.936411] Epoch: 33 / 1000, Frames: 10200, Gov_Rewards: 3404.533, House_Rewards: 289978.771, years:300.000, actor_loss: 30130.451, critic_loss: 161158.143, exploitability_rate: 0.000245
[2024-05-19 23:43:18.049107] Epoch: 34 / 1000, Frames: 10500, Gov_Rewards: 3326.849, House_Rewards: 287610.478, years:300.000, actor_loss: 29775.296, critic_loss: 166606.004, exploitability_rate: 0.000703
[2024-05-19 23:45:26.365692] Epoch: 35 / 1000, Frames: 10800, Gov_Rewards: 3407.150, House_Rewards: 289940.644, years:300.000, actor_loss: 29237.892, critic_loss: 156949.889, exploitability_rate: 0.000005
[2024-05-19 23:47:34.925077] Epoch: 36 / 1000, Frames: 11100, Gov_Rewards: 3408.083, House_Rewards: 289985.511, years:300.000, actor_loss: 29365.638, critic_loss: 162896.008, exploitability_rate: 0.000169
[2024-05-19 23:49:43.719562] Epoch: 37 / 1000, Frames: 11400, Gov_Rewards: 3415.400, House_Rewards: 289739.705, years:300.000, actor_loss: 28696.553, critic_loss: 159526.931, exploitability_rate: 0.000345
[2024-05-19 23:51:51.990775] Epoch: 38 / 1000, Frames: 11700, Gov_Rewards: 3414.274, House_Rewards: 289743.000, years:300.000, actor_loss: 29125.516, critic_loss: 138282.751, exploitability_rate: 0.000470
[2024-05-19 23:54:00.196881] Epoch: 39 / 1000, Frames: 12000, Gov_Rewards: 3400.881, House_Rewards: 290835.077, years:300.000, actor_loss: 29356.646, critic_loss: 147491.483, exploitability_rate: 0.000033
[2024-05-19 23:56:04.960258] Epoch: 40 / 1000, Frames: 12300, Gov_Rewards: 3298.939, House_Rewards: 286433.045, years:300.000, actor_loss: 28509.415, critic_loss: 135453.200, exploitability_rate: 0.078244
[2024-05-19 23:58:13.221587] Epoch: 41 / 1000, Frames: 12600, Gov_Rewards: 3404.983, House_Rewards: 289976.433, years:300.000, actor_loss: 28033.268, critic_loss: 138409.310, exploitability_rate: 0.000041
[2024-05-20 00:00:21.468093] Epoch: 42 / 1000, Frames: 12900, Gov_Rewards: 3407.737, House_Rewards: 289918.505, years:300.000, actor_loss: 28419.457, critic_loss: 136430.298, exploitability_rate: 0.000131
[2024-05-20 00:02:29.717005] Epoch: 43 / 1000, Frames: 13200, Gov_Rewards: 3405.352, House_Rewards: 289934.343, years:300.000, actor_loss: 28293.315, critic_loss: 135247.100, exploitability_rate: 0.000090
[2024-05-20 00:04:37.842677] Epoch: 44 / 1000, Frames: 13500, Gov_Rewards: 3410.188, House_Rewards: 290676.736, years:300.000, actor_loss: 28023.036, critic_loss: 135182.476, exploitability_rate: 0.000495
