
[2024-05-17 22:47:13.626355] Epoch: 0 / 1000, Frames: 300, Gov_Rewards: -886.837, House_Rewards: 801.475, years:1.000, actor_loss: 81.027, critic_loss: 10065710.357, exploitability_rate: 0.219966
[2024-05-17 22:47:40.807841] Epoch: 1 / 1000, Frames: 600, Gov_Rewards: -968.967, House_Rewards: 546.166, years:1.000, actor_loss: 1691.321, critic_loss: 48729706.417, exploitability_rate: 0.011164
[2024-05-17 22:47:58.421737] Epoch: 2 / 1000, Frames: 900, Gov_Rewards: -932.522, House_Rewards: 741.853, years:1.000, actor_loss: 8230.793, critic_loss: 51722577.216, exploitability_rate: 0.144588
[2024-05-17 22:48:12.935436] Epoch: 3 / 1000, Frames: 1200, Gov_Rewards: -438.435, House_Rewards: 825.160, years:1.000, actor_loss: 22314.759, critic_loss: 30456334.116, exploitability_rate: 0.030457
[2024-05-17 22:48:29.863788] Epoch: 4 / 1000, Frames: 1500, Gov_Rewards: -833.493, House_Rewards: 853.204, years:1.000, actor_loss: 30729.569, critic_loss: 12912909.417, exploitability_rate: 0.014556
[2024-05-17 22:48:46.428386] Epoch: 5 / 1000, Frames: 1800, Gov_Rewards: -567.637, House_Rewards: 871.921, years:1.000, actor_loss: 41677.166, critic_loss: 10017720.363, exploitability_rate: 0.006194
[2024-05-17 22:49:03.837271] Epoch: 6 / 1000, Frames: 2100, Gov_Rewards: -714.141, House_Rewards: 885.209, years:1.000, actor_loss: 50885.665, critic_loss: 6844549.275, exploitability_rate: 0.000197
[2024-05-17 22:49:20.942402] Epoch: 7 / 1000, Frames: 2400, Gov_Rewards: -602.089, House_Rewards: 870.808, years:1.000, actor_loss: 55978.494, critic_loss: 5050326.862, exploitability_rate: 0.021708
[2024-05-17 22:49:38.683573] Epoch: 8 / 1000, Frames: 2700, Gov_Rewards: -821.221, House_Rewards: 848.877, years:1.000, actor_loss: 57769.499, critic_loss: 4295313.747, exploitability_rate: 0.000009
[2024-05-17 22:49:56.598545] Epoch: 9 / 1000, Frames: 3000, Gov_Rewards: -804.105, House_Rewards: 871.207, years:1.000, actor_loss: 59648.163, critic_loss: 3740153.857, exploitability_rate: 0.001790
[2024-05-17 22:50:14.579626] Epoch: 10 / 1000, Frames: 3300, Gov_Rewards: -795.975, House_Rewards: 869.580, years:1.000, actor_loss: 60062.409, critic_loss: 3408837.932, exploitability_rate: 0.001195
[2024-05-17 22:50:32.269358] Epoch: 11 / 1000, Frames: 3600, Gov_Rewards: -783.975, House_Rewards: 859.879, years:1.000, actor_loss: 64903.008, critic_loss: 2903270.032, exploitability_rate: 0.000812
[2024-05-17 22:50:49.584481] Epoch: 12 / 1000, Frames: 3900, Gov_Rewards: -770.048, House_Rewards: 897.992, years:1.000, actor_loss: 62519.662, critic_loss: 2403528.675, exploitability_rate: 0.002268
[2024-05-17 22:51:06.638953] Epoch: 13 / 1000, Frames: 4200, Gov_Rewards: -784.913, House_Rewards: 898.137, years:1.000, actor_loss: 62444.354, critic_loss: 2276957.573, exploitability_rate: 0.000485
[2024-05-17 22:51:24.260332] Epoch: 14 / 1000, Frames: 4500, Gov_Rewards: -783.325, House_Rewards: 894.262, years:1.000, actor_loss: 64332.323, critic_loss: 1903721.227, exploitability_rate: 0.024899
[2024-05-17 22:51:42.037331] Epoch: 15 / 1000, Frames: 4800, Gov_Rewards: -799.798, House_Rewards: 871.586, years:1.000, actor_loss: 65243.724, critic_loss: 1620147.691, exploitability_rate: 0.000506
