
[2024-01-24 11:31:06.915735] Epoch: 0 / 1000, Frames: 300, Gov_Rewards: -922.727, House_Rewards: 34.881, years:1.000, actor_loss: 1070.690, critic_loss: 68243615.703
[2024-01-24 11:31:13.824797] Epoch: 1 / 1000, Frames: 600, Gov_Rewards: -907.558, House_Rewards: 35.000, years:1.000, actor_loss: 37534.090, critic_loss: 27019608.568
[2024-01-24 11:31:21.260294] Epoch: 2 / 1000, Frames: 900, Gov_Rewards: -854.606, House_Rewards: 35.247, years:1.000, actor_loss: 75222.057, critic_loss: 6990765.274
[2024-01-24 11:31:28.487926] Epoch: 3 / 1000, Frames: 1200, Gov_Rewards: -766.709, House_Rewards: 43.591, years:1.000, actor_loss: 74754.797, critic_loss: 6349693.655
[2024-01-24 11:31:35.637827] Epoch: 4 / 1000, Frames: 1500, Gov_Rewards: -791.452, House_Rewards: 39.859, years:1.000, actor_loss: 74941.135, critic_loss: 5400669.944
[2024-01-24 11:31:43.476368] Epoch: 5 / 1000, Frames: 1800, Gov_Rewards: -909.481, House_Rewards: 32.940, years:1.000, actor_loss: 76042.899, critic_loss: 4692993.527
[2024-01-24 11:31:50.491478] Epoch: 6 / 1000, Frames: 2100, Gov_Rewards: -881.138, House_Rewards: 33.028, years:1.000, actor_loss: 76557.891, critic_loss: 4272755.393
[2024-01-24 11:31:58.042904] Epoch: 7 / 1000, Frames: 2400, Gov_Rewards: -845.089, House_Rewards: 42.862, years:1.000, actor_loss: 76737.139, critic_loss: 3992458.739
[2024-01-24 11:32:05.740670] Epoch: 8 / 1000, Frames: 2700, Gov_Rewards: -812.016, House_Rewards: 31.281, years:1.000, actor_loss: 77459.047, critic_loss: 3648588.618
[2024-01-24 11:32:12.767885] Epoch: 9 / 1000, Frames: 3000, Gov_Rewards: -829.994, House_Rewards: 33.282, years:1.000, actor_loss: 78625.779, critic_loss: 3067131.639
[2024-01-24 11:32:20.254449] Epoch: 10 / 1000, Frames: 3300, Gov_Rewards: -813.320, House_Rewards: 36.684, years:1.000, actor_loss: 78586.354, critic_loss: 2891913.061
[2024-01-24 11:32:27.448085] Epoch: 11 / 1000, Frames: 3600, Gov_Rewards: -907.823, House_Rewards: 29.756, years:1.000, actor_loss: 78878.900, critic_loss: 2720603.721
[2024-01-24 11:32:34.694376] Epoch: 12 / 1000, Frames: 3900, Gov_Rewards: -919.968, House_Rewards: 35.161, years:1.000, actor_loss: 78786.702, critic_loss: 2610451.148
[2024-01-24 11:32:42.085208] Epoch: 13 / 1000, Frames: 4200, Gov_Rewards: -815.312, House_Rewards: 32.692, years:1.000, actor_loss: 78938.369, critic_loss: 2456028.480
[2024-01-24 11:32:49.074659] Epoch: 14 / 1000, Frames: 4500, Gov_Rewards: -898.243, House_Rewards: 30.225, years:1.000, actor_loss: 79207.697, critic_loss: 2456308.819
[2024-01-24 11:32:56.704099] Epoch: 15 / 1000, Frames: 4800, Gov_Rewards: -893.918, House_Rewards: 34.192, years:1.000, actor_loss: 79373.925, critic_loss: 2229628.686
[2024-01-24 11:33:03.653088] Epoch: 16 / 1000, Frames: 5100, Gov_Rewards: -882.626, House_Rewards: 32.536, years:1.000, actor_loss: 79758.160, critic_loss: 2132690.376
[2024-01-24 11:33:11.900721] Epoch: 17 / 1000, Frames: 5400, Gov_Rewards: -799.754, House_Rewards: 37.227, years:1.000, actor_loss: 79551.320, critic_loss: 2149715.264
[2024-01-24 11:33:20.354525] Epoch: 18 / 1000, Frames: 5700, Gov_Rewards: -844.884, House_Rewards: 36.038, years:1.000, actor_loss: 79689.196, critic_loss: 2115544.393
[2024-01-24 11:33:28.127051] Epoch: 19 / 1000, Frames: 6000, Gov_Rewards: -604.001, House_Rewards: 42.929, years:1.000, actor_loss: 79515.083, critic_loss: 2048298.841
[2024-01-24 11:33:36.913339] Epoch: 20 / 1000, Frames: 6300, Gov_Rewards: -889.800, House_Rewards: 32.276, years:1.000, actor_loss: 79454.119, critic_loss: 1970985.613
[2024-01-24 11:33:44.602866] Epoch: 21 / 1000, Frames: 6600, Gov_Rewards: -918.228, House_Rewards: 30.272, years:1.000, actor_loss: 79751.280, critic_loss: 1970070.580
[2024-01-24 11:33:52.889352] Epoch: 22 / 1000, Frames: 6900, Gov_Rewards: -827.890, House_Rewards: 37.265, years:1.000, actor_loss: 79683.376, critic_loss: 1975313.461
[2024-01-24 11:34:00.474788] Epoch: 23 / 1000, Frames: 7200, Gov_Rewards: -819.854, House_Rewards: 35.859, years:1.000, actor_loss: 79569.249, critic_loss: 1961658.078
[2024-01-24 11:34:08.160915] Epoch: 24 / 1000, Frames: 7500, Gov_Rewards: -763.608, House_Rewards: 38.643, years:1.000, actor_loss: 79482.899, critic_loss: 1969541.129
[2024-01-24 11:34:16.978308] Epoch: 25 / 1000, Frames: 7800, Gov_Rewards: -846.081, House_Rewards: 41.462, years:1.000, actor_loss: 79555.238, critic_loss: 1876218.500
[2024-01-24 11:34:24.608858] Epoch: 26 / 1000, Frames: 8100, Gov_Rewards: -876.037, House_Rewards: 41.020, years:1.000, actor_loss: 79712.906, critic_loss: 1892071.264
