
[2024-05-17 14:52:13.882905] Epoch: 0 / 1000, Frames: 300, Gov_Rewards: -165.310, House_Rewards: 564.557, years:1.000, actor_loss: -19828.141, critic_loss: 48330738.000, exploitability_rate: 0.013303
[2024-05-17 14:52:29.348175] Epoch: 1 / 1000, Frames: 600, Gov_Rewards: -847.432, House_Rewards: 645.530, years:1.000, actor_loss: -93288.434, critic_loss: 38708259.000, exploitability_rate: 0.114064
[2024-05-17 14:52:44.907210] Epoch: 2 / 1000, Frames: 900, Gov_Rewards: -882.781, House_Rewards: 512.139, years:1.000, actor_loss: -49137.734, critic_loss: 10415306.500, exploitability_rate: 0.023258
[2024-05-17 14:53:00.412692] Epoch: 3 / 1000, Frames: 1200, Gov_Rewards: -903.795, House_Rewards: 486.434, years:1.000, actor_loss: -16812.129, critic_loss: 3546443.000, exploitability_rate: 0.042368
[2024-05-17 14:53:19.795504] Epoch: 4 / 1000, Frames: 1500, Gov_Rewards: -899.953, House_Rewards: 505.373, years:1.000, actor_loss: -4955.316, critic_loss: 1807711.156, exploitability_rate: 0.017118
[2024-05-17 14:53:35.770553] Epoch: 5 / 1000, Frames: 1800, Gov_Rewards: -890.386, House_Rewards: 529.341, years:1.000, actor_loss: 2948.516, critic_loss: 1134911.094, exploitability_rate: 0.004414
[2024-05-17 14:53:51.200572] Epoch: 6 / 1000, Frames: 2100, Gov_Rewards: -874.475, House_Rewards: 572.230, years:1.000, actor_loss: 6350.984, critic_loss: 792312.031, exploitability_rate: 0.012830
[2024-05-17 14:54:07.558047] Epoch: 7 / 1000, Frames: 2400, Gov_Rewards: -821.221, House_Rewards: 631.218, years:1.000, actor_loss: 8973.789, critic_loss: 618116.422, exploitability_rate: 0.028877
[2024-05-17 14:54:25.473105] Epoch: 8 / 1000, Frames: 2700, Gov_Rewards: -838.809, House_Rewards: 635.734, years:1.000, actor_loss: 8962.254, critic_loss: 589987.484, exploitability_rate: 0.008283
[2024-05-17 14:54:40.901123] Epoch: 9 / 1000, Frames: 3000, Gov_Rewards: -794.606, House_Rewards: 663.750, years:1.000, actor_loss: 9139.305, critic_loss: 574011.938, exploitability_rate: 0.003297
[2024-05-17 14:54:56.267947] Epoch: 10 / 1000, Frames: 3300, Gov_Rewards: -796.582, House_Rewards: 664.739, years:1.000, actor_loss: 8331.141, critic_loss: 549045.266, exploitability_rate: 0.001850
[2024-05-17 14:55:13.062285] Epoch: 11 / 1000, Frames: 3600, Gov_Rewards: -796.467, House_Rewards: 669.191, years:1.000, actor_loss: 7693.148, critic_loss: 542884.953, exploitability_rate: 0.002155
[2024-05-17 14:55:28.587593] Epoch: 12 / 1000, Frames: 3900, Gov_Rewards: -771.585, House_Rewards: 673.934, years:1.000, actor_loss: 6924.414, critic_loss: 550555.922, exploitability_rate: 0.004592
[2024-05-17 14:55:45.535813] Epoch: 13 / 1000, Frames: 4200, Gov_Rewards: -759.752, House_Rewards: 682.486, years:1.000, actor_loss: 6833.273, critic_loss: 505584.906, exploitability_rate: 0.003495
[2024-05-17 14:56:00.880846] Epoch: 14 / 1000, Frames: 4500, Gov_Rewards: -748.035, House_Rewards: 680.103, years:1.000, actor_loss: 6212.258, critic_loss: 495270.094, exploitability_rate: 0.000250
[2024-05-17 14:56:17.818850] Epoch: 15 / 1000, Frames: 4800, Gov_Rewards: -741.380, House_Rewards: 682.860, years:1.000, actor_loss: 5455.695, critic_loss: 490740.570, exploitability_rate: 0.006435
[2024-05-17 14:56:39.640535] Epoch: 16 / 1000, Frames: 5100, Gov_Rewards: -735.278, House_Rewards: 681.729, years:1.000, actor_loss: 4969.609, critic_loss: 475766.844, exploitability_rate: 0.001286
[2024-05-17 14:56:55.188709] Epoch: 17 / 1000, Frames: 5400, Gov_Rewards: -718.749, House_Rewards: 682.446, years:1.000, actor_loss: 4886.969, critic_loss: 453300.648, exploitability_rate: 0.005410
[2024-05-17 14:57:10.594921] Epoch: 18 / 1000, Frames: 5700, Gov_Rewards: -704.125, House_Rewards: 685.565, years:1.000, actor_loss: 4154.977, critic_loss: 455836.797, exploitability_rate: 0.002115
[2024-05-17 14:57:27.271065] Epoch: 19 / 1000, Frames: 6000, Gov_Rewards: -694.641, House_Rewards: 686.469, years:1.000, actor_loss: 3685.055, critic_loss: 430988.391, exploitability_rate: 0.003737
[2024-05-17 14:57:43.066915] Epoch: 20 / 1000, Frames: 6300, Gov_Rewards: -684.808, House_Rewards: 682.414, years:1.000, actor_loss: 3345.250, critic_loss: 399985.297, exploitability_rate: 0.002620
[2024-05-17 14:58:02.252987] Epoch: 21 / 1000, Frames: 6600, Gov_Rewards: -678.365, House_Rewards: 680.995, years:1.000, actor_loss: 2576.406, critic_loss: 414049.766, exploitability_rate: 0.008230
[2024-05-17 14:58:17.649061] Epoch: 22 / 1000, Frames: 6900, Gov_Rewards: -662.660, House_Rewards: 677.262, years:1.000, actor_loss: 2403.133, critic_loss: 391364.594, exploitability_rate: 0.000826
[2024-05-17 14:58:33.987977] Epoch: 23 / 1000, Frames: 7200, Gov_Rewards: -658.239, House_Rewards: 677.151, years:1.000, actor_loss: 1822.094, critic_loss: 377314.711, exploitability_rate: 0.002151
[2024-05-17 14:58:54.935875] Epoch: 24 / 1000, Frames: 7500, Gov_Rewards: -643.607, House_Rewards: 672.085, years:1.000, actor_loss: 1779.320, critic_loss: 373512.938, exploitability_rate: 0.003667
[2024-05-17 14:59:10.578960] Epoch: 25 / 1000, Frames: 7800, Gov_Rewards: -646.738, House_Rewards: 679.477, years:1.000, actor_loss: 1459.422, critic_loss: 378841.734, exploitability_rate: 0.001124
[2024-05-17 14:59:26.343953] Epoch: 26 / 1000, Frames: 8100, Gov_Rewards: -628.018, House_Rewards: 671.874, years:1.000, actor_loss: 1114.977, critic_loss: 368533.164, exploitability_rate: 0.006280
[2024-05-17 14:59:41.735968] Epoch: 27 / 1000, Frames: 8400, Gov_Rewards: -622.784, House_Rewards: 671.259, years:1.000, actor_loss: 718.320, critic_loss: 354867.086, exploitability_rate: 0.004712
[2024-05-17 14:59:56.909343] Epoch: 28 / 1000, Frames: 8700, Gov_Rewards: -623.030, House_Rewards: 678.197, years:1.000, actor_loss: 697.602, critic_loss: 348431.188, exploitability_rate: 0.002797
[2024-05-17 15:00:15.463766] Epoch: 29 / 1000, Frames: 9000, Gov_Rewards: -611.535, House_Rewards: 671.701, years:1.000, actor_loss: 296.750, critic_loss: 344113.125, exploitability_rate: 0.003709
[2024-05-17 15:00:31.028321] Epoch: 30 / 1000, Frames: 9300, Gov_Rewards: -616.538, House_Rewards: 674.985, years:1.000, actor_loss: 73.125, critic_loss: 330552.297, exploitability_rate: 0.003269
[2024-05-17 15:00:47.067511] Epoch: 31 / 1000, Frames: 9600, Gov_Rewards: -608.346, House_Rewards: 668.470, years:1.000, actor_loss: -278.508, critic_loss: 324010.688, exploitability_rate: 0.003153
[2024-05-17 15:01:02.569847] Epoch: 32 / 1000, Frames: 9900, Gov_Rewards: -614.676, House_Rewards: 672.681, years:1.000, actor_loss: -538.445, critic_loss: 339300.422, exploitability_rate: 0.005979
[2024-05-17 15:01:19.997886] Epoch: 33 / 1000, Frames: 10200, Gov_Rewards: -614.261, House_Rewards: 672.901, years:1.000, actor_loss: -1004.297, critic_loss: 340406.742, exploitability_rate: 0.001464
[2024-05-17 15:01:35.210516] Epoch: 34 / 1000, Frames: 10500, Gov_Rewards: -605.043, House_Rewards: 668.189, years:1.000, actor_loss: -877.664, critic_loss: 329972.055, exploitability_rate: 0.002253
[2024-05-17 15:01:50.988631] Epoch: 35 / 1000, Frames: 10800, Gov_Rewards: -606.597, House_Rewards: 672.462, years:1.000, actor_loss: -912.078, critic_loss: 332379.367, exploitability_rate: 0.000565
