
[2024-01-19 11:06:14.504261] Epoch: 0 / 1000, Frames: 300, Gov_Rewards: -163.548, House_Rewards: 49.689, years:1.000, actor_loss: 75.696, critic_loss: 13792886.703
[2024-01-19 11:06:24.622742] Epoch: 1 / 1000, Frames: 600, Gov_Rewards: -792.387, House_Rewards: 79.826, years:1.000, actor_loss: 1412.651, critic_loss: 7393815.229
[2024-01-19 11:06:34.607827] Epoch: 2 / 1000, Frames: 900, Gov_Rewards: -934.543, House_Rewards: 60.109, years:1.000, actor_loss: 8356.320, critic_loss: 19142591.680
[2024-01-19 11:06:44.505762] Epoch: 3 / 1000, Frames: 1200, Gov_Rewards: -836.965, House_Rewards: 84.572, years:1.000, actor_loss: 23780.113, critic_loss: 19608993.662
[2024-01-19 11:06:54.513723] Epoch: 4 / 1000, Frames: 1500, Gov_Rewards: -733.948, House_Rewards: 88.014, years:1.000, actor_loss: 44872.012, critic_loss: 12774156.503
[2024-01-19 11:07:04.495867] Epoch: 5 / 1000, Frames: 1800, Gov_Rewards: -845.553, House_Rewards: 82.739, years:1.000, actor_loss: 49677.013, critic_loss: 8598807.258
[2024-01-19 11:07:14.171471] Epoch: 6 / 1000, Frames: 2100, Gov_Rewards: -720.084, House_Rewards: 83.817, years:1.000, actor_loss: 45377.707, critic_loss: 8567214.089
[2024-01-19 11:07:24.287805] Epoch: 7 / 1000, Frames: 2400, Gov_Rewards: -716.510, House_Rewards: 84.431, years:1.000, actor_loss: 49438.217, critic_loss: 7678099.033
[2024-01-19 11:07:34.522603] Epoch: 8 / 1000, Frames: 2700, Gov_Rewards: -763.788, House_Rewards: 80.536, years:1.000, actor_loss: 51138.497, critic_loss: 6318291.993
[2024-01-19 11:07:44.610095] Epoch: 9 / 1000, Frames: 3000, Gov_Rewards: -818.591, House_Rewards: 78.340, years:1.000, actor_loss: 53806.551, critic_loss: 5773765.010
[2024-01-19 11:07:54.749545] Epoch: 10 / 1000, Frames: 3300, Gov_Rewards: -762.505, House_Rewards: 79.062, years:1.000, actor_loss: 60417.917, critic_loss: 5168865.060
[2024-01-19 11:08:05.017756] Epoch: 11 / 1000, Frames: 3600, Gov_Rewards: -680.917, House_Rewards: 79.295, years:1.000, actor_loss: 57450.086, critic_loss: 4635313.068
[2024-01-19 11:08:15.346667] Epoch: 12 / 1000, Frames: 3900, Gov_Rewards: -771.542, House_Rewards: 79.581, years:1.000, actor_loss: 57456.124, critic_loss: 3849696.354
[2024-01-19 11:08:25.480281] Epoch: 13 / 1000, Frames: 4200, Gov_Rewards: -835.377, House_Rewards: 75.619, years:1.000, actor_loss: 61033.808, critic_loss: 3581058.624
[2024-01-19 11:08:35.330040] Epoch: 14 / 1000, Frames: 4500, Gov_Rewards: -753.501, House_Rewards: 80.385, years:1.000, actor_loss: 65426.404, critic_loss: 3134543.159
[2024-01-19 11:08:45.708152] Epoch: 15 / 1000, Frames: 4800, Gov_Rewards: -745.267, House_Rewards: 81.008, years:1.000, actor_loss: 64117.997, critic_loss: 2800582.642
[2024-01-19 11:08:55.886906] Epoch: 16 / 1000, Frames: 5100, Gov_Rewards: -737.420, House_Rewards: 80.798, years:1.000, actor_loss: 66163.829, critic_loss: 2488106.634
[2024-01-19 11:09:06.010324] Epoch: 17 / 1000, Frames: 5400, Gov_Rewards: -742.141, House_Rewards: 81.082, years:1.000, actor_loss: 68643.916, critic_loss: 2093650.754
[2024-01-19 11:09:16.158871] Epoch: 18 / 1000, Frames: 5700, Gov_Rewards: -844.308, House_Rewards: 81.229, years:1.000, actor_loss: 67299.948, critic_loss: 1911863.991
[2024-01-19 11:09:25.814596] Epoch: 19 / 1000, Frames: 6000, Gov_Rewards: -760.338, House_Rewards: 84.603, years:1.000, actor_loss: 67177.350, critic_loss: 1790452.117
[2024-01-19 11:09:35.123458] Epoch: 20 / 1000, Frames: 6300, Gov_Rewards: -799.861, House_Rewards: 84.017, years:1.000, actor_loss: 59860.899, critic_loss: 1709511.851
[2024-01-19 11:09:45.120511] Epoch: 21 / 1000, Frames: 6600, Gov_Rewards: -846.150, House_Rewards: 81.160, years:1.000, actor_loss: 57673.807, critic_loss: 1740950.338
[2024-01-19 11:09:55.074635] Epoch: 22 / 1000, Frames: 6900, Gov_Rewards: -800.942, House_Rewards: 82.675, years:1.000, actor_loss: 60288.997, critic_loss: 1836654.579
[2024-01-19 11:10:04.701956] Epoch: 23 / 1000, Frames: 7200, Gov_Rewards: -815.321, House_Rewards: 82.013, years:1.000, actor_loss: 64165.791, critic_loss: 1705672.942
[2024-01-19 11:10:14.055933] Epoch: 24 / 1000, Frames: 7500, Gov_Rewards: -816.310, House_Rewards: 81.846, years:1.000, actor_loss: 66939.874, critic_loss: 1566147.693
[2024-01-19 11:10:23.970418] Epoch: 25 / 1000, Frames: 7800, Gov_Rewards: -811.340, House_Rewards: 82.079, years:1.000, actor_loss: 67928.751, critic_loss: 1520219.066
[2024-01-19 11:10:33.944344] Epoch: 26 / 1000, Frames: 8100, Gov_Rewards: -815.284, House_Rewards: 82.470, years:1.000, actor_loss: 63846.995, critic_loss: 1416302.431
[2024-01-19 11:10:43.952345] Epoch: 27 / 1000, Frames: 8400, Gov_Rewards: -827.208, House_Rewards: 81.836, years:1.000, actor_loss: 64909.998, critic_loss: 1390525.934
[2024-01-19 11:10:53.890903] Epoch: 28 / 1000, Frames: 8700, Gov_Rewards: -823.420, House_Rewards: 81.267, years:1.000, actor_loss: 65933.925, critic_loss: 1357117.433
[2024-01-19 11:11:04.022813] Epoch: 29 / 1000, Frames: 9000, Gov_Rewards: -822.947, House_Rewards: 80.961, years:1.000, actor_loss: 66004.959, critic_loss: 1401585.174
[2024-01-19 11:11:13.943919] Epoch: 30 / 1000, Frames: 9300, Gov_Rewards: -820.934, House_Rewards: 81.130, years:1.000, actor_loss: 67049.155, critic_loss: 1403130.426
[2024-01-19 11:11:24.031351] Epoch: 31 / 1000, Frames: 9600, Gov_Rewards: -820.029, House_Rewards: 82.068, years:1.000, actor_loss: 68208.852, critic_loss: 1348527.177
[2024-01-19 11:11:33.986965] Epoch: 32 / 1000, Frames: 9900, Gov_Rewards: -816.012, House_Rewards: 82.350, years:1.000, actor_loss: 69091.034, critic_loss: 1288349.427
[2024-01-19 11:11:44.047736] Epoch: 33 / 1000, Frames: 10200, Gov_Rewards: -817.032, House_Rewards: 82.457, years:1.000, actor_loss: 70028.867, critic_loss: 1232317.796
[2024-01-19 11:11:53.982299] Epoch: 34 / 1000, Frames: 10500, Gov_Rewards: -813.643, House_Rewards: 83.464, years:1.000, actor_loss: 70545.358, critic_loss: 1221279.045
[2024-01-19 11:12:03.987804] Epoch: 35 / 1000, Frames: 10800, Gov_Rewards: -802.473, House_Rewards: 83.834, years:1.000, actor_loss: 71294.181, critic_loss: 1201191.651
[2024-01-19 11:12:13.817814] Epoch: 36 / 1000, Frames: 11100, Gov_Rewards: -771.329, House_Rewards: 84.295, years:1.000, actor_loss: 71988.994, critic_loss: 1036008.016
[2024-01-19 11:12:23.844594] Epoch: 37 / 1000, Frames: 11400, Gov_Rewards: -773.233, House_Rewards: 84.698, years:1.000, actor_loss: 72268.659, critic_loss: 1058990.130
[2024-01-19 11:12:33.790790] Epoch: 38 / 1000, Frames: 11700, Gov_Rewards: -757.439, House_Rewards: 84.827, years:1.000, actor_loss: 72868.306, critic_loss: 968131.871
[2024-01-19 11:12:43.764773] Epoch: 39 / 1000, Frames: 12000, Gov_Rewards: -765.581, House_Rewards: 84.772, years:1.000, actor_loss: 72753.421, critic_loss: 975727.050
[2024-01-19 11:12:53.731213] Epoch: 40 / 1000, Frames: 12300, Gov_Rewards: -766.621, House_Rewards: 84.733, years:1.000, actor_loss: 72896.501, critic_loss: 898402.348
[2024-01-19 11:13:03.663768] Epoch: 41 / 1000, Frames: 12600, Gov_Rewards: -773.395, House_Rewards: 84.742, years:1.000, actor_loss: 73039.275, critic_loss: 830361.840
[2024-01-19 11:13:13.501212] Epoch: 42 / 1000, Frames: 12900, Gov_Rewards: -772.730, House_Rewards: 84.734, years:1.000, actor_loss: 73340.354, critic_loss: 773857.333
[2024-01-19 11:13:23.064382] Epoch: 43 / 1000, Frames: 13200, Gov_Rewards: -772.656, House_Rewards: 84.714, years:1.000, actor_loss: 73648.948, critic_loss: 739760.575
[2024-01-19 11:13:32.863955] Epoch: 44 / 1000, Frames: 13500, Gov_Rewards: -767.755, House_Rewards: 83.480, years:1.000, actor_loss: 73695.879, critic_loss: 714985.314
[2024-01-19 11:13:42.832618] Epoch: 45 / 1000, Frames: 13800, Gov_Rewards: -768.198, House_Rewards: 83.856, years:1.000, actor_loss: 74008.985, critic_loss: 651128.121
[2024-01-19 11:13:52.483320] Epoch: 46 / 1000, Frames: 14100, Gov_Rewards: -768.676, House_Rewards: 84.522, years:1.000, actor_loss: 73867.288, critic_loss: 636703.236
[2024-01-19 11:14:02.296269] Epoch: 47 / 1000, Frames: 14400, Gov_Rewards: -767.916, House_Rewards: 84.632, years:1.000, actor_loss: 74071.849, critic_loss: 554866.234
[2024-01-19 11:14:11.975143] Epoch: 48 / 1000, Frames: 14700, Gov_Rewards: -760.632, House_Rewards: 84.887, years:1.000, actor_loss: 73593.535, critic_loss: 668659.988
[2024-01-19 11:14:21.977887] Epoch: 49 / 1000, Frames: 15000, Gov_Rewards: -750.509, House_Rewards: 84.847, years:1.000, actor_loss: 73741.112, critic_loss: 541486.928
[2024-01-19 11:14:31.831297] Epoch: 50 / 1000, Frames: 15300, Gov_Rewards: -757.418, House_Rewards: 84.829, years:1.000, actor_loss: 73736.562, critic_loss: 533323.406
[2024-01-19 11:14:41.856140] Epoch: 51 / 1000, Frames: 15600, Gov_Rewards: -766.343, House_Rewards: 84.810, years:1.000, actor_loss: 73669.879, critic_loss: 481445.919
[2024-01-19 11:14:51.834759] Epoch: 52 / 1000, Frames: 15900, Gov_Rewards: -750.264, House_Rewards: 85.023, years:1.000, actor_loss: 73691.414, critic_loss: 459432.915
[2024-01-19 11:15:01.081837] Epoch: 53 / 1000, Frames: 16200, Gov_Rewards: -742.262, House_Rewards: 84.853, years:1.000, actor_loss: 73698.013, critic_loss: 424600.035
[2024-01-19 11:15:10.711346] Epoch: 54 / 1000, Frames: 16500, Gov_Rewards: -745.013, House_Rewards: 84.885, years:1.000, actor_loss: 73956.139, critic_loss: 394996.933
[2024-01-19 11:15:20.293756] Epoch: 55 / 1000, Frames: 16800, Gov_Rewards: -733.015, House_Rewards: 84.825, years:1.000, actor_loss: 73682.029, critic_loss: 422626.457
[2024-01-19 11:15:30.303995] Epoch: 56 / 1000, Frames: 17100, Gov_Rewards: -748.178, House_Rewards: 85.021, years:1.000, actor_loss: 73422.159, critic_loss: 397826.106
[2024-01-19 11:15:40.308309] Epoch: 57 / 1000, Frames: 17400, Gov_Rewards: -736.885, House_Rewards: 84.848, years:1.000, actor_loss: 73538.755, critic_loss: 351829.937
[2024-01-19 11:15:50.233888] Epoch: 58 / 1000, Frames: 17700, Gov_Rewards: -741.757, House_Rewards: 84.614, years:1.000, actor_loss: 73584.082, critic_loss: 353039.058
[2024-01-19 11:16:00.213225] Epoch: 59 / 1000, Frames: 18000, Gov_Rewards: -730.525, House_Rewards: 84.596, years:1.000, actor_loss: 73411.679, critic_loss: 330096.148
[2024-01-19 11:16:10.189104] Epoch: 60 / 1000, Frames: 18300, Gov_Rewards: -733.539, House_Rewards: 84.699, years:1.000, actor_loss: 73169.180, critic_loss: 358672.672
[2024-01-19 11:16:20.172693] Epoch: 61 / 1000, Frames: 18600, Gov_Rewards: -751.754, House_Rewards: 84.766, years:1.000, actor_loss: 73362.249, critic_loss: 287687.606
[2024-01-19 11:16:30.120444] Epoch: 62 / 1000, Frames: 18900, Gov_Rewards: -740.182, House_Rewards: 84.765, years:1.000, actor_loss: 73583.494, critic_loss: 282596.937
[2024-01-19 11:16:40.112674] Epoch: 63 / 1000, Frames: 19200, Gov_Rewards: -739.763, House_Rewards: 84.763, years:1.000, actor_loss: 73421.544, critic_loss: 272704.902
[2024-01-19 11:16:49.799909] Epoch: 64 / 1000, Frames: 19500, Gov_Rewards: -743.145, House_Rewards: 84.854, years:1.000, actor_loss: 73599.774, critic_loss: 260231.333
[2024-01-19 11:16:59.873779] Epoch: 65 / 1000, Frames: 19800, Gov_Rewards: -743.836, House_Rewards: 84.756, years:1.000, actor_loss: 73566.238, critic_loss: 248426.310
[2024-01-19 11:17:09.820416] Epoch: 66 / 1000, Frames: 20100, Gov_Rewards: -734.631, House_Rewards: 84.940, years:1.000, actor_loss: 73563.290, critic_loss: 280486.724
[2024-01-19 11:17:19.481203] Epoch: 67 / 1000, Frames: 20400, Gov_Rewards: -741.662, House_Rewards: 84.940, years:1.000, actor_loss: 73547.058, critic_loss: 1033183.969
[2024-01-19 11:17:29.213179] Epoch: 68 / 1000, Frames: 20700, Gov_Rewards: -765.345, House_Rewards: 84.942, years:1.000, actor_loss: 73914.997, critic_loss: 247197.795
