
[2024-05-17 09:43:27.021684] Epoch: 0 / 1000, Frames: 300, Gov_Rewards: -165.153, House_Rewards: 500.417, years:1.000, actor_loss: 90.703, critic_loss: 15054499.597, exploitability_rate: 0.189159
[2024-05-17 09:43:54.915399] Epoch: 1 / 1000, Frames: 600, Gov_Rewards: -946.680, House_Rewards: 602.080, years:1.000, actor_loss: 1709.529, critic_loss: 15720207.828, exploitability_rate: 0.164143
[2024-05-17 09:44:17.340482] Epoch: 2 / 1000, Frames: 900, Gov_Rewards: -963.220, House_Rewards: 566.238, years:1.000, actor_loss: 9344.767, critic_loss: 32223275.512, exploitability_rate: 0.114550
[2024-05-17 09:44:39.948868] Epoch: 3 / 1000, Frames: 1200, Gov_Rewards: -879.008, House_Rewards: 750.901, years:1.000, actor_loss: 24184.162, critic_loss: 24569979.229, exploitability_rate: 0.011855
[2024-05-17 09:45:01.932146] Epoch: 4 / 1000, Frames: 1500, Gov_Rewards: -913.326, House_Rewards: 635.260, years:1.000, actor_loss: 38588.919, critic_loss: 14062146.931, exploitability_rate: 0.003320
[2024-05-17 09:45:29.125282] Epoch: 5 / 1000, Frames: 1800, Gov_Rewards: -851.850, House_Rewards: 735.589, years:1.000, actor_loss: 46937.465, critic_loss: 12006920.050, exploitability_rate: 0.005666
[2024-05-17 09:45:51.283322] Epoch: 6 / 1000, Frames: 2100, Gov_Rewards: -834.387, House_Rewards: 759.903, years:1.000, actor_loss: 60353.981, critic_loss: 9523511.968, exploitability_rate: 0.012364
[2024-05-17 09:46:12.719699] Epoch: 7 / 1000, Frames: 2400, Gov_Rewards: -876.711, House_Rewards: 723.061, years:1.000, actor_loss: 62873.708, critic_loss: 7414806.440, exploitability_rate: 0.016022
[2024-05-17 09:46:35.793590] Epoch: 8 / 1000, Frames: 2700, Gov_Rewards: -834.456, House_Rewards: 762.131, years:1.000, actor_loss: 60812.221, critic_loss: 6438893.917, exploitability_rate: 0.003777
[2024-05-17 09:46:57.448138] Epoch: 9 / 1000, Frames: 3000, Gov_Rewards: -888.364, House_Rewards: 708.761, years:1.000, actor_loss: 64059.599, critic_loss: 5960112.383, exploitability_rate: 0.007100
[2024-05-17 09:47:19.735786] Epoch: 10 / 1000, Frames: 3300, Gov_Rewards: -871.000, House_Rewards: 792.361, years:1.000, actor_loss: 64142.784, critic_loss: 5427684.915, exploitability_rate: 0.004209
